,project_url,project_name
0,https://github.com/apache/spark,apache / spark
1,https://github.com/apache/hadoop,apache / hadoop
2,https://github.com/jbhuang0604/awesome-computer-vision,jbhuang0604 / awesome-computer-vision
3,https://github.com/GSA/data,GSA / data
4,https://github.com/GoogleTrends/data,GoogleTrends / data
5,https://github.com/nationalparkservice/data,nationalparkservice / data
6,https://github.com/fivethirtyeight/data,fivethirtyeight / data
7,https://github.com/beamandrew/medical-data,beamandrew / medical-data
8,https://github.com/src-d/awesome-machine-learning-on-source-code,src-d / awesome-machine-learning-on-source-code
9,https://github.com/igrigorik/decisiontree,igrigorik / decisiontree
10,https://github.com/keon/awesome-nlp,keon / awesome-nlp
11,https://github.com/openai/gym,openai / gym
12,https://github.com/aikorea/awesome-rl,aikorea / awesome-rl
13,https://github.com/umutisik/Eigentechno,umutisik / Eigentechno
14,https://github.com/jpmckinney/tf-idf-similarity,jpmckinney / tf-idf-similarity
15,https://github.com/scikit-learn-contrib/lightning,scikit-learn-contrib / lightning
16,https://github.com/gwding/draw_convnet,gwding / draw_convnet
17,https://github.com/scikit-learn/scikit-learn,scikit-learn / scikit-learn
18,https://github.com/tensorflow/tensorflow,tensorflow / tensorflow
19,https://github.com/activeloopai/deeplake,activeloopai / deeplake
